@relation ac

 

@attribute temperature real
@attribute humidity real
@ATTRIBUTE hour DATE "yyyy-MM-dd HH:mm:ss"
@attribute turnOn {Y,N}

 

 

@data

17,75,"2018-03-01 0:22:10",N

18,75,"2018-03-01 1:22:10",N

18,68,"2018-03-01 2:22:10",N

18,99,"2018-03-01 3:22:10",N

19,96,"2018-03-01 4:22:10",N

19,99,"2018-03-01 5:22:10",N

20,60,"2018-03-01 6:22:10",N

21,84,"2018-03-01 7:22:10",Y

22,81,"2018-03-01 8:22:10",Y

22,76,"2018-03-01 9:22:10",Y

23,66,"2018-03-01 10:22:10",Y

24,1,"2018-03-01 11:22:10",Y

24,36,"2018-03-01 12:22:10",Y

24,40,"2018-03-01 13:22:10",Y

23,70,"2018-03-01 14:22:10",Y

23,57,"2018-03-01 15:22:10",Y

22,58,"2018-03-01 16:22:10",Y

20,77,"2018-03-01 17:22:10",N

19,96,"2018-03-01 18:22:10",N

18,88,"2018-03-01 19:22:10",N

16,57,"2018-03-01 20:22:10",N

14,74,"2018-03-01 21:22:10",N

10,57,"2018-03-01 22:22:10",N

9,73,"2018-03-01 23:22:10",N

17,91,"2018-03-02 0:22:10",N

18,100,"2018-03-02 1:22:10",N

18,83,"2018-03-02 2:22:10",N

18,84,"2018-03-02 3:22:10",N

19,75,"2018-03-02 4:22:10",N

19,65,"2018-03-02 5:22:10",N

20,97,"2018-03-02 6:22:10",N

21,81,"2018-03-02 7:22:10",Y

22,87,"2018-03-02 8:22:10",Y

22,53,"2018-03-02 9:22:10",Y

23,89,"2018-03-02 10:22:10",Y

24,18,"2018-03-02 11:22:10",Y

24,11,"2018-03-02 12:22:10",Y

24,3,"2018-03-02 13:22:10",Y

23,97,"2018-03-02 14:22:10",Y

23,95,"2018-03-02 15:22:10",Y

22,94,"2018-03-02 16:22:10",Y

20,64,"2018-03-02 17:22:10",N

19,73,"2018-03-02 18:22:10",N

18,90,"2018-03-02 19:22:10",N

16,64,"2018-03-02 20:22:10",N

14,81,"2018-03-02 21:22:10",N

10,64,"2018-03-02 22:22:10",N

9,99,"2018-03-02 23:22:10",N

17,66,"2018-03-03 0:22:10",N

18,73,"2018-03-03 1:22:10",N

18,89,"2018-03-03 2:22:10",N

18,81,"2018-03-03 3:22:10",N

19,60,"2018-03-03 4:22:10",N

19,56,"2018-03-03 5:22:10",N

20,71,"2018-03-03 6:22:10",N

21,58,"2018-03-03 7:22:10",Y

22,72,"2018-03-03 8:22:10",Y

22,59,"2018-03-03 9:22:10",Y

23,59,"2018-03-03 10:22:10",Y

24,31,"2018-03-03 11:22:10",Y

24,41,"2018-03-03 12:22:10",Y

24,34,"2018-03-03 13:22:10",Y

23,76,"2018-03-03 14:22:10",Y

23,90,"2018-03-03 15:22:10",Y

22,50,"2018-03-03 16:22:10",Y

20,52,"2018-03-03 17:22:10",N

19,95,"2018-03-03 18:22:10",N

18,80,"2018-03-03 19:22:10",N

16,90,"2018-03-03 20:22:10",N

14,58,"2018-03-03 21:22:10",N

10,74,"2018-03-03 22:22:10",N

9,61,"2018-03-03 23:22:10",N

17,82,"2018-03-04 0:22:10",N

18,58,"2018-03-04 1:22:10",N

18,61,"2018-03-04 2:22:10",N

18,62,"2018-03-04 3:22:10",N

19,72,"2018-03-04 4:22:10",N

19,76,"2018-03-04 5:22:10",N

20,98,"2018-03-04 6:22:10",N

21,70,"2018-03-04 7:22:10",Y

22,59,"2018-03-04 8:22:10",Y

22,82,"2018-03-04 9:22:10",Y

23,54,"2018-03-04 10:22:10",Y

24,34,"2018-03-04 11:22:10",Y

24,35,"2018-03-04 12:22:10",Y

24,28,"2018-03-04 13:22:10",Y

23,92,"2018-03-04 14:22:10",Y

23,77,"2018-03-04 15:22:10",Y

22,90,"2018-03-04 16:22:10",Y

20,57,"2018-03-04 17:22:10",N

19,98,"2018-03-04 18:22:10",N

18,53,"2018-03-04 19:22:10",N

16,50,"2018-03-04 20:22:10",N

14,65,"2018-03-04 21:22:10",N

10,98,"2018-03-04 22:22:10",N

9,65,"2018-03-04 23:22:10",N

17,93,"2018-03-05 0:22:10",N

18,82,"2018-03-05 1:22:10",N

18,93,"2018-03-05 2:22:10",N

18,65,"2018-03-05 3:22:10",N

19,76,"2018-03-05 4:22:10",N

19,82,"2018-03-05 5:22:10",N

20,80,"2018-03-05 6:22:10",N

21,58,"2018-03-05 7:22:10",Y

22,55,"2018-03-05 8:22:10",Y

22,99,"2018-03-05 9:22:10",Y

23,90,"2018-03-05 10:22:10",Y

24,21,"2018-03-05 11:22:10",Y

24,49,"2018-03-05 12:22:10",Y

24,50,"2018-03-05 13:22:10",Y

23,83,"2018-03-05 14:22:10",Y

23,98,"2018-03-05 15:22:10",Y

22,85,"2018-03-05 16:22:10",Y

20,99,"2018-03-05 17:22:10",N

19,94,"2018-03-05 18:22:10",N

18,83,"2018-03-05 19:22:10",N

16,100,"2018-03-05 20:22:10",N

14,60,"2018-03-05 21:22:10",N

10,64,"2018-03-05 22:22:10",N

9,75,"2018-03-05 23:22:10",N

17,76,"2018-03-06 0:22:10",N

18,54,"2018-03-06 1:22:10",N

18,81,"2018-03-06 2:22:10",N

18,53,"2018-03-06 3:22:10",N

19,91,"2018-03-06 4:22:10",N

19,70,"2018-03-06 5:22:10",N

20,50,"2018-03-06 6:22:10",N

21,75,"2018-03-06 7:22:10",Y

22,93,"2018-03-06 8:22:10",Y

22,86,"2018-03-06 9:22:10",Y

23,59,"2018-03-06 10:22:10",Y

24,5,"2018-03-06 11:22:10",Y

24,37,"2018-03-06 12:22:10",Y

24,17,"2018-03-06 13:22:10",Y

23,68,"2018-03-06 14:22:10",Y

23,54,"2018-03-06 15:22:10",Y

22,72,"2018-03-06 16:22:10",Y

20,99,"2018-03-06 17:22:10",N

19,50,"2018-03-06 18:22:10",N

18,93,"2018-03-06 19:22:10",N

16,71,"2018-03-06 20:22:10",N

14,57,"2018-03-06 21:22:10",N

10,54,"2018-03-06 22:22:10",N

9,95,"2018-03-06 23:22:10",N

17,92,"2018-03-07 0:22:10",N

18,71,"2018-03-07 1:22:10",N

18,86,"2018-03-07 2:22:10",N

18,64,"2018-03-07 3:22:10",N

19,69,"2018-03-07 4:22:10",N

19,78,"2018-03-07 5:22:10",N

20,56,"2018-03-07 6:22:10",N

21,59,"2018-03-07 7:22:10",Y

22,90,"2018-03-07 8:22:10",Y

22,90,"2018-03-07 9:22:10",Y

23,95,"2018-03-07 10:22:10",Y

24,14,"2018-03-07 11:22:10",Y

24,45,"2018-03-07 12:22:10",Y

24,49,"2018-03-07 13:22:10",Y

23,90,"2018-03-07 14:22:10",Y

23,98,"2018-03-07 15:22:10",Y

22,87,"2018-03-07 16:22:10",Y

20,58,"2018-03-07 17:22:10",N

19,60,"2018-03-07 18:22:10",N

18,56,"2018-03-07 19:22:10",N

16,63,"2018-03-07 20:22:10",N

14,66,"2018-03-07 21:22:10",N

10,67,"2018-03-07 22:22:10",N

9,72,"2018-03-07 23:22:10",N

17,92,"2018-03-08 0:22:10",N

18,88,"2018-03-08 1:22:10",N

18,52,"2018-03-08 2:22:10",N

18,67,"2018-03-08 3:22:10",N

19,66,"2018-03-08 4:22:10",N

19,89,"2018-03-08 5:22:10",N

20,71,"2018-03-08 6:22:10",N

21,92,"2018-03-08 7:22:10",Y

22,95,"2018-03-08 8:22:10",Y

22,70,"2018-03-08 9:22:10",Y

23,71,"2018-03-08 10:22:10",Y

24,30,"2018-03-08 11:22:10",Y

24,17,"2018-03-08 12:22:10",Y

24,43,"2018-03-08 13:22:10",Y

23,58,"2018-03-08 14:22:10",Y

23,58,"2018-03-08 15:22:10",Y

22,73,"2018-03-08 16:22:10",Y

20,82,"2018-03-08 17:22:10",N

19,53,"2018-03-08 18:22:10",N

18,99,"2018-03-08 19:22:10",N

16,50,"2018-03-08 20:22:10",N

14,58,"2018-03-08 21:22:10",N

10,53,"2018-03-08 22:22:10",N

9,66,"2018-03-08 23:22:10",N

17,87,"2018-03-09 0:22:10",N

18,69,"2018-03-09 1:22:10",N

18,94,"2018-03-09 2:22:10",N

18,66,"2018-03-09 3:22:10",N

19,93,"2018-03-09 4:22:10",N

19,72,"2018-03-09 5:22:10",N

20,89,"2018-03-09 6:22:10",N

21,99,"2018-03-09 7:22:10",Y

22,50,"2018-03-09 8:22:10",Y

22,61,"2018-03-09 9:22:10",Y

23,54,"2018-03-09 10:22:10",Y

24,4,"2018-03-09 11:22:10",Y

24,29,"2018-03-09 12:22:10",Y

24,38,"2018-03-09 13:22:10",Y

23,81,"2018-03-09 14:22:10",Y

23,85,"2018-03-09 15:22:10",Y

22,98,"2018-03-09 16:22:10",Y

20,74,"2018-03-09 17:22:10",N

19,91,"2018-03-09 18:22:10",N

18,86,"2018-03-09 19:22:10",N

16,52,"2018-03-09 20:22:10",N

14,94,"2018-03-09 21:22:10",N

10,61,"2018-03-09 22:22:10",N

9,90,"2018-03-09 23:22:10",N

17,87,"2018-03-10 0:22:10",N

18,85,"2018-03-10 1:22:10",N

18,100,"2018-03-10 2:22:10",N

18,57,"2018-03-10 3:22:10",N

19,83,"2018-03-10 4:22:10",N

19,89,"2018-03-10 5:22:10",N

20,82,"2018-03-10 6:22:10",N

21,65,"2018-03-10 7:22:10",N

22,57,"2018-03-10 8:22:10",N

22,52,"2018-03-10 9:22:10",N

23,86,"2018-03-10 10:22:10",N

24,18,"2018-03-10 11:22:10",N

24,39,"2018-03-10 12:22:10",N

24,25,"2018-03-10 13:22:10",N

23,56,"2018-03-10 14:22:10",N

23,65,"2018-03-10 15:22:10",N

22,93,"2018-03-10 16:22:10",N

20,50,"2018-03-10 17:22:10",N

19,72,"2018-03-10 18:22:10",N

18,54,"2018-03-10 19:22:10",N

16,63,"2018-03-10 20:22:10",N

14,82,"2018-03-10 21:22:10",N

10,50,"2018-03-10 22:22:10",N

9,87,"2018-03-10 23:22:10",N

17,78,"2018-03-11 0:22:10",N

18,60,"2018-03-11 1:22:10",N

18,97,"2018-03-11 2:22:10",N

18,84,"2018-03-11 3:22:10",N

19,55,"2018-03-11 4:22:10",N

19,64,"2018-03-11 5:22:10",N

20,81,"2018-03-11 6:22:10",N

21,96,"2018-03-11 7:22:10",Y

22,98,"2018-03-11 8:22:10",Y

22,64,"2018-03-11 9:22:10",Y

23,64,"2018-03-11 10:22:10",Y

24,5,"2018-03-11 11:22:10",Y

24,46,"2018-03-11 12:22:10",Y

24,41,"2018-03-11 13:22:10",Y

23,57,"2018-03-11 14:22:10",Y

23,92,"2018-03-11 15:22:10",Y

22,64,"2018-03-11 16:22:10",Y

20,57,"2018-03-11 17:22:10",N

19,52,"2018-03-11 18:22:10",N

18,85,"2018-03-11 19:22:10",N

16,87,"2018-03-11 20:22:10",N

14,80,"2018-03-11 21:22:10",N

10,95,"2018-03-11 22:22:10",N

9,92,"2018-03-11 23:22:10",N

17,65,"2018-03-12 0:22:10",N

18,51,"2018-03-12 1:22:10",N

18,95,"2018-03-12 2:22:10",N

18,81,"2018-03-12 3:22:10",N

19,73,"2018-03-12 4:22:10",N

19,74,"2018-03-12 5:22:10",N

20,61,"2018-03-12 6:22:10",N

21,51,"2018-03-12 7:22:10",Y

22,87,"2018-03-12 8:22:10",Y

22,64,"2018-03-12 9:22:10",Y

23,65,"2018-03-12 10:22:10",Y

24,27,"2018-03-12 11:22:10",Y

24,30,"2018-03-12 12:22:10",Y

24,48,"2018-03-12 13:22:10",Y

23,61,"2018-03-12 14:22:10",Y

23,96,"2018-03-12 15:22:10",Y

22,74,"2018-03-12 16:22:10",Y

20,80,"2018-03-12 17:22:10",N

19,87,"2018-03-12 18:22:10",N

18,54,"2018-03-12 19:22:10",N

16,73,"2018-03-12 20:22:10",N

14,84,"2018-03-12 21:22:10",N

10,97,"2018-03-12 22:22:10",N

9,85,"2018-03-12 23:22:10",N

17,74,"2018-03-13 0:22:10",N

18,58,"2018-03-13 1:22:10",N

18,79,"2018-03-13 2:22:10",N

18,85,"2018-03-13 3:22:10",N

19,50,"2018-03-13 4:22:10",N

19,77,"2018-03-13 5:22:10",N

20,78,"2018-03-13 6:22:10",N

21,81,"2018-03-13 7:22:10",Y

22,81,"2018-03-13 8:22:10",Y

22,63,"2018-03-13 9:22:10",Y

23,56,"2018-03-13 10:22:10",Y

24,7,"2018-03-13 11:22:10",Y

24,26,"2018-03-13 12:22:10",Y

24,2,"2018-03-13 13:22:10",Y

23,58,"2018-03-13 14:22:10",Y

23,98,"2018-03-13 15:22:10",Y

22,61,"2018-03-13 16:22:10",Y

20,98,"2018-03-13 17:22:10",N

19,84,"2018-03-13 18:22:10",N

18,98,"2018-03-13 19:22:10",N

16,64,"2018-03-13 20:22:10",N

14,81,"2018-03-13 21:22:10",N

10,75,"2018-03-13 22:22:10",N

9,85,"2018-03-13 23:22:10",N

17,60,"2018-03-14 0:22:10",N

18,85,"2018-03-14 1:22:10",N

18,100,"2018-03-14 2:22:10",N

18,67,"2018-03-14 3:22:10",N

19,98,"2018-03-14 4:22:10",N

19,63,"2018-03-14 5:22:10",N

20,65,"2018-03-14 6:22:10",N

21,60,"2018-03-14 7:22:10",Y

22,74,"2018-03-14 8:22:10",Y

22,87,"2018-03-14 9:22:10",Y

23,52,"2018-03-14 10:22:10",Y

24,18,"2018-03-14 11:22:10",Y

24,40,"2018-03-14 12:22:10",Y

24,37,"2018-03-14 13:22:10",Y

23,97,"2018-03-14 14:22:10",Y

23,95,"2018-03-14 15:22:10",Y

22,82,"2018-03-14 16:22:10",Y

20,97,"2018-03-14 17:22:10",N

19,87,"2018-03-14 18:22:10",N

18,72,"2018-03-14 19:22:10",N

16,75,"2018-03-14 20:22:10",N

14,52,"2018-03-14 21:22:10",N

10,70,"2018-03-14 22:22:10",N

9,61,"2018-03-14 23:22:10",N

17,99,"2018-03-15 0:22:10",N

18,80,"2018-03-15 1:22:10",N

